customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment
CUST_00122,80,2,5916.799999999999,3,1,4,8,Potential Loyalists
CUST_00123,79,1,119.1,3,1,1,5,At Risk
CUST_00124,96,3,1334.43,3,3,2,8,Potential Loyalists
CUST_00125,1,6,5482.3099999999995,5,5,4,14,Champions
CUST_00126,184,3,5796.18,2,3,4,9,Potential Loyalists
CUST_00127,194,2,6812.73,2,1,4,7,Potential Loyalists
CUST_00128,27,3,1894.3600000000001,5,3,3,11,Loyal Customers
CUST_00129,133,4,4425.11,2,4,4,10,Loyal Customers
CUST_00130,183,5,1415.34,2,4,2,8,Potential Loyalists
CUST_00131,32,4,1450.0500000000002,4,4,2,10,Loyal Customers
CUST_00132,93,1,401.74,3,1,1,5,At Risk
CUST_00133,66,4,3183.6200000000003,4,4,3,11,Loyal Customers
CUST_00134,130,2,330.47,2,1,1,4,Lost Customers
CUST_00135,85,4,1205.28,3,4,2,9,Potential Loyalists
CUST_00136,21,7,27744.81,5,5,5,15,Champions
CUST_00137,103,5,7847.549999999999,3,4,5,12,Loyal Customers
CUST_00138,303,2,5038.3,1,1,4,6,At Risk
CUST_00139,13,3,2415.02,5,3,3,11,Loyal Customers
CUST_00140,76,5,4127.54,3,4,4,11,Loyal Customers
CUST_00141,31,3,692.77,4,3,2,9,Potential Loyalists
CUST_00142,103,6,4468.86,3,5,4,12,Loyal Customers
CUST_00143,169,4,6306.07,2,4,4,10,Loyal Customers
CUST_00144,113,2,5798.76,3,1,4,8,Potential Loyalists
CUST_00145,10,6,4239.0,5,5,4,14,Champions
CUST_00146,151,3,4920.679999999999,2,3,4,9,Potential Loyalists
CUST_00147,50,3,2613.37,4,3,3,10,Loyal Customers
CUST_00148,39,3,4689.19,4,3,4,11,Loyal Customers
CUST_00149,21,2,4978.3,5,1,4,10,Loyal Customers
CUST_00150,2,2,2227.61,5,1,3,9,Potential Loyalists
CUST_00151,60,3,12397.1,4,3,5,12,Loyal Customers
CUST_00152,63,7,3955.98,4,5,4,13,Champions
CUST_00153,6,5,4193.99,5,4,4,13,Champions
CUST_00154,31,10,41613.83,4,5,5,14,Champions
CUST_00155,111,5,10313.310000000001,3,4,5,12,Loyal Customers
CUST_00156,193,2,1687.83,2,1,2,5,At Risk
CUST_00157,273,3,2816.84,1,3,3,7,Potential Loyalists
CUST_00158,55,8,8416.01,4,5,5,14,Champions
CUST_00159,281,1,2443.68,1,1,3,5,At Risk
CUST_00160,160,1,11182.48,2,1,5,8,Potential Loyalists
CUST_00161,81,4,793.8000000000001,3,4,2,9,Potential Loyalists
CUST_00162,250,1,237.6,1,1,1,3,Lost Customers
CUST_00163,328,2,5341.99,1,1,4,6,At Risk
CUST_00164,187,2,394.59999999999997,2,1,1,4,Lost Customers
CUST_00165,114,2,6117.8099999999995,3,1,4,8,Potential Loyalists
CUST_00166,212,3,1549.54,2,3,2,7,Potential Loyalists
CUST_00167,137,9,11605.460000000001,2,5,5,12,Loyal Customers
CUST_00168,162,7,8067.05,2,5,5,12,Loyal Customers
CUST_00169,67,2,214.62,4,1,1,6,At Risk
CUST_00170,124,2,1897.07,2,1,3,6,At Risk
CUST_00171,112,2,585.45,3,1,1,5,At Risk
CUST_00172,36,5,1556.11,4,4,2,10,Loyal Customers
CUST_00173,43,3,672.02,4,3,2,9,Potential Loyalists
CUST_00174,246,4,20734.25,1,4,5,10,Loyal Customers
CUST_00175,2,4,6394.780000000001,5,4,4,13,Champions
CUST_00176,377,1,1207.95,1,1,2,4,Lost Customers
CUST_00177,314,2,1353.74,1,1,2,4,Lost Customers
CUST_00178,200,6,18129.14,2,5,5,12,Loyal Customers
CUST_00179,206,1,94.26,2,1,1,4,Lost Customers
CUST_00180,6,4,1081.19,5,4,2,11,Loyal Customers
CUST_00181,6,7,3503.51,5,5,3,13,Champions
CUST_00182,9,4,4957.13,5,4,4,13,Champions
CUST_00183,111,7,5201.82,3,5,4,12,Loyal Customers
CUST_00184,90,2,224.32,3,1,1,5,At Risk
CUST_00185,136,1,3413.36,2,1,3,6,At Risk
CUST_00186,121,3,869.0,3,3,2,8,Potential Loyalists
CUST_00187,284,2,2598.7200000000003,1,1,3,5,At Risk
CUST_00188,130,1,81.09,2,1,1,4,Lost Customers
CUST_00189,37,9,14335.39,4,5,5,14,Champions
CUST_00190,217,3,13061.51,1,3,5,9,Potential Loyalists
CUST_00191,86,2,3211.2200000000003,3,1,3,7,Potential Loyalists
CUST_00192,257,1,90.92,1,1,1,3,Lost Customers
CUST_00193,35,4,2969.69,4,4,3,11,Loyal Customers
CUST_00194,27,2,985.1400000000001,5,1,2,8,Potential Loyalists
CUST_00195,173,3,4017.48,2,3,4,9,Potential Loyalists
CUST_00196,17,3,10132.67,5,3,5,13,Champions
CUST_00197,73,10,47324.23,3,5,5,13,Champions
CUST_00198,24,4,4623.04,5,4,4,13,Champions
CUST_00199,155,4,6738.69,2,4,4,10,Loyal Customers
CUST_00200,17,6,5927.53,5,5,4,14,Champions
CUST_00201,363,1,103.56,1,1,1,3,Lost Customers
CUST_00202,430,1,131.92,1,1,1,3,Lost Customers
CUST_00203,97,4,961.24,3,4,2,9,Potential Loyalists
CUST_00204,75,3,2324.31,3,3,3,9,Potential Loyalists
CUST_00205,13,7,4079.13,5,5,4,14,Champions
CUST_00206,379,2,3340.6099999999997,1,1,3,5,At Risk
CUST_00207,15,2,685.31,5,1,2,8,Potential Loyalists
CUST_00208,351,1,2215.8,1,1,3,5,At Risk
CUST_00209,181,3,990.95,2,3,2,7,Potential Loyalists
CUST_00210,13,6,11821.51,5,5,5,15,Champions
CUST_00211,43,4,794.12,4,4,2,10,Loyal Customers
CUST_00212,56,6,14783.85,4,5,5,14,Champions
CUST_00213,371,2,776.3599999999999,1,1,2,4,Lost Customers
CUST_00214,161,3,2156.65,2,3,3,8,Potential Loyalists
CUST_00215,27,3,3373.4500000000003,5,3,3,11,Loyal Customers
CUST_00216,256,5,7822.99,1,4,5,10,Loyal Customers
CUST_00217,246,1,86.62,1,1,1,3,Lost Customers
CUST_00218,62,3,5745.79,4,3,4,11,Loyal Customers
CUST_00219,205,2,894.11,2,1,2,5,At Risk
CUST_00220,24,3,2958.81,5,3,3,11,Loyal Customers
CUST_00221,74,3,1595.11,3,3,2,8,Potential Loyalists
CUST_00222,177,4,1203.7,2,4,2,8,Potential Loyalists
CUST_00223,374,2,3880.27,1,1,4,6,At Risk
CUST_00224,90,3,3107.41,3,3,3,9,Potential Loyalists
CUST_00225,19,3,7058.01,5,3,5,13,Champions
CUST_00226,83,1,168.0,3,1,1,5,At Risk
CUST_00227,204,1,30.5,2,1,1,4,Lost Customers
CUST_00228,130,3,534.81,2,3,1,6,At Risk
CUST_00229,20,5,5361.07,5,4,4,13,Champions
CUST_00230,2,2,232.82,5,1,1,7,Potential Loyalists
CUST_00231,3,4,5517.289999999999,5,4,4,13,Champions
CUST_00232,69,1,426.24,4,1,1,6,At Risk
CUST_00233,271,1,434.34,1,1,1,3,Lost Customers
CUST_00234,37,4,5509.29,4,4,4,12,Loyal Customers
CUST_00235,331,1,287.72,1,1,1,3,Lost Customers
CUST_00236,7,2,6898.39,5,1,5,11,Loyal Customers
CUST_00237,52,3,356.31,4,3,1,8,Potential Loyalists
CUST_00238,93,8,12917.61,3,5,5,13,Champions
CUST_00239,65,3,1649.18,4,3,2,9,Potential Loyalists
CUST_00240,184,2,2792.2200000000003,2,1,3,6,At Risk
CUST_00241,129,10,15101.949999999999,2,5,5,12,Loyal Customers
CUST_00242,57,8,22668.920000000002,4,5,5,14,Champions
CUST_00243,63,2,890.73,4,1,2,7,Potential Loyalists
CUST_00244,66,3,1374.4,4,3,2,9,Potential Loyalists
CUST_00245,103,6,14832.900000000001,3,5,5,13,Champions
CUST_00246,141,2,1239.0900000000001,2,1,2,5,At Risk
CUST_00247,75,7,5413.9400000000005,3,5,4,12,Loyal Customers
CUST_00248,31,3,2203.43,4,3,3,10,Loyal Customers
CUST_00249,198,4,5215.41,2,4,4,10,Loyal Customers
CUST_00250,176,1,12718.2,2,1,5,8,Potential Loyalists
CUST_00251,105,2,2474.96,3,1,3,7,Potential Loyalists
CUST_00252,32,9,18766.25,4,5,5,14,Champions
CUST_00253,168,3,6104.4400000000005,2,3,4,9,Potential Loyalists
CUST_00254,107,4,613.1800000000001,3,4,1,8,Potential Loyalists
CUST_00255,171,2,220.81,2,1,1,4,Lost Customers
CUST_00256,83,6,13381.57,3,5,5,13,Champions
CUST_00257,87,2,973.8900000000001,3,1,2,6,At Risk
CUST_00258,140,6,3768.67,2,5,4,11,Loyal Customers
CUST_00259,233,2,4355.91,1,1,4,6,At Risk
CUST_00260,255,2,427.65999999999997,1,1,1,3,Lost Customers
CUST_00261,26,6,4224.62,5,5,4,14,Champions
CUST_00262,287,1,50.9,1,1,1,3,Lost Customers
CUST_00263,230,3,6274.570000000001,1,3,4,8,Potential Loyalists
CUST_00264,39,3,924.3399999999999,4,3,2,9,Potential Loyalists
CUST_00265,12,7,4866.16,5,5,4,14,Champions
CUST_00266,12,3,12708.69,5,3,5,13,Champions
CUST_00267,287,1,5004.9,1,1,4,6,At Risk
CUST_00268,98,3,947.34,3,3,2,8,Potential Loyalists
CUST_00269,209,1,2800.5,2,1,3,6,At Risk
CUST_00270,146,1,186.07,2,1,1,4,Lost Customers
CUST_00271,163,2,219.17,2,1,1,4,Lost Customers
CUST_00272,326,3,5937.62,1,3,4,8,Potential Loyalists
CUST_00273,424,1,6248.78,1,1,4,6,At Risk
CUST_00274,91,2,186.5,3,1,1,5,At Risk
CUST_00275,71,1,1990.27,4,1,3,8,Potential Loyalists
CUST_00276,66,3,1081.69,4,3,2,9,Potential Loyalists
CUST_00277,239,2,374.69,1,1,1,3,Lost Customers
CUST_00278,256,1,355.71,1,1,1,3,Lost Customers
CUST_00279,15,9,8998.039999999999,5,5,5,15,Champions
CUST_00280,331,1,363.61,1,1,1,3,Lost Customers
CUST_00281,50,4,11020.91,4,4,5,13,Champions
CUST_00282,108,1,858.7,3,1,2,6,At Risk
CUST_00283,49,1,105.6,4,1,1,6,At Risk
CUST_00284,305,2,3209.09,1,1,3,5,At Risk
CUST_00285,114,1,229.55,3,1,1,5,At Risk
CUST_00286,31,7,6885.5,4,5,4,13,Champions
CUST_00287,51,3,4548.25,4,3,4,11,Loyal Customers
CUST_00288,125,5,6706.0,2,4,4,10,Loyal Customers
CUST_00289,3,8,11224.32,5,5,5,15,Champions
CUST_00290,172,2,4059.1499999999996,2,1,4,7,Potential Loyalists
CUST_00291,128,3,1503.5,2,3,2,7,Potential Loyalists
CUST_00292,50,6,3072.8,4,5,3,12,Loyal Customers
CUST_00293,87,3,5139.64,3,3,4,10,Loyal Customers
CUST_00294,139,3,4237.54,2,3,4,9,Potential Loyalists
CUST_00295,185,3,744.88,2,3,2,7,Potential Loyalists
CUST_00296,13,2,3827.6400000000003,5,1,4,10,Loyal Customers
CUST_00297,74,2,5984.12,3,1,4,8,Potential Loyalists
CUST_00298,82,1,2986.14,3,1,3,7,Potential Loyalists
CUST_00299,11,3,2362.61,5,3,3,11,Loyal Customers
CUST_00300,288,2,1295.79,1,1,2,4,Lost Customers
CUST_00301,83,3,886.8,3,3,2,8,Potential Loyalists
CUST_00302,31,5,7594.5599999999995,4,4,5,13,Champions
CUST_00303,148,2,748.76,2,1,2,5,At Risk
CUST_00304,99,2,5288.84,3,1,4,8,Potential Loyalists
CUST_00305,355,2,3982.9399999999996,1,1,4,6,At Risk
CUST_00306,63,6,6928.47,4,5,5,14,Champions
CUST_00307,250,2,4069.7799999999997,1,1,4,6,At Risk
CUST_00308,95,3,3162.1000000000004,3,3,3,9,Potential Loyalists
CUST_00309,59,5,3053.3100000000004,4,4,3,11,Loyal Customers
CUST_00310,158,1,4054.88,2,1,4,7,Potential Loyalists
CUST_00311,33,2,1968.97,4,1,3,8,Potential Loyalists
CUST_00312,111,1,85.44,3,1,1,5,At Risk
CUST_00313,166,2,494.02,2,1,1,4,Lost Customers
CUST_00314,100,3,2567.12,3,3,3,9,Potential Loyalists
CUST_00315,311,2,400.93,1,1,1,3,Lost Customers
CUST_00316,164,1,1295.0,2,1,2,5,At Risk
CUST_00317,42,3,1719.7,4,3,3,10,Loyal Customers
CUST_00318,211,3,7715.96,2,3,5,10,Loyal Customers
CUST_00319,154,3,1865.71,2,3,3,8,Potential Loyalists
CUST_00320,125,1,448.2,2,1,1,4,Lost Customers
CUST_00321,54,10,9956.119999999999,4,5,5,14,Champions
CUST_00322,414,1,2536.32,1,1,3,5,At Risk
CUST_00323,221,3,2076.6400000000003,1,3,3,7,Potential Loyalists
CUST_00324,56,3,2388.65,4,3,3,10,Loyal Customers
CUST_00325,226,1,2178.78,1,1,3,5,At Risk
CUST_00326,280,2,2225.29,1,1,3,5,At Risk
CUST_00327,82,2,1503.48,3,1,2,6,At Risk
CUST_00328,91,2,3388.15,3,1,3,7,Potential Loyalists
CUST_00329,36,7,8675.3,4,5,5,14,Champions
CUST_00330,98,1,872.72,3,1,2,6,At Risk
CUST_00331,5,3,1630.78,5,3,2,10,Loyal Customers
CUST_00332,111,3,903.08,3,3,2,8,Potential Loyalists
CUST_00333,443,1,568.64,1,1,1,3,Lost Customers
CUST_00334,110,2,4985.6,3,1,4,8,Potential Loyalists
CUST_00335,13,2,2841.91,5,1,3,9,Potential Loyalists
CUST_00336,21,6,8133.17,5,5,5,15,Champions
CUST_00337,210,1,3681.65,2,1,4,7,Potential Loyalists
CUST_00338,96,4,2652.9700000000003,3,4,3,10,Loyal Customers
CUST_00339,43,5,8773.0,4,4,5,13,Champions
CUST_00340,56,2,297.3,4,1,1,6,At Risk
CUST_00341,42,5,5653.17,4,4,4,12,Loyal Customers
CUST_00342,94,6,9730.85,3,5,5,13,Champions
CUST_00343,66,2,133.44,4,1,1,6,At Risk
CUST_00344,407,2,1766.02,1,1,3,5,At Risk
CUST_00345,40,3,7194.0,4,3,5,12,Loyal Customers
CUST_00346,103,5,6818.34,3,4,4,11,Loyal Customers
CUST_00347,338,4,5339.1,1,4,4,9,Potential Loyalists
CUST_00348,47,4,2877.3,4,4,3,11,Loyal Customers
CUST_00349,33,4,2643.9,4,4,3,11,Loyal Customers
CUST_00350,433,1,3351.67,1,1,3,5,At Risk
CUST_00351,78,6,13195.92,3,5,5,13,Champions
CUST_00352,184,3,743.3799999999999,2,3,2,7,Potential Loyalists
CUST_00353,209,3,1009.15,2,3,2,7,Potential Loyalists
CUST_00354,246,3,4360.4800000000005,1,3,4,8,Potential Loyalists
CUST_00355,83,8,4192.860000000001,3,5,4,12,Loyal Customers
CUST_00356,174,2,3884.3500000000004,2,1,4,7,Potential Loyalists
CUST_00357,154,3,2235.7799999999997,2,3,3,8,Potential Loyalists
CUST_00358,208,1,2005.55,2,1,3,6,At Risk
CUST_00359,52,2,3735.6699999999996,4,1,4,9,Potential Loyalists
CUST_00360,136,1,957.96,2,1,2,5,At Risk
CUST_00361,12,5,16828.5,5,4,5,14,Champions
CUST_00362,101,1,1367.58,3,1,2,6,At Risk
CUST_00363,120,3,5134.74,3,3,4,10,Loyal Customers
CUST_00364,20,3,2166.73,5,3,3,11,Loyal Customers
CUST_00365,57,5,8058.8099999999995,4,4,5,13,Champions
CUST_00366,20,2,962.35,5,1,2,8,Potential Loyalists
CUST_00367,360,1,438.31,1,1,1,3,Lost Customers
CUST_00368,123,5,22308.22,3,4,5,12,Loyal Customers
CUST_00369,10,1,14.81,5,1,1,7,Potential Loyalists
CUST_00370,198,2,2215.34,2,1,3,6,At Risk
CUST_00371,91,1,564.76,3,1,1,5,At Risk
CUST_00372,309,2,1792.47,1,1,3,5,At Risk
CUST_00373,76,5,11427.89,3,4,5,12,Loyal Customers
CUST_00374,54,2,2280.27,4,1,3,8,Potential Loyalists
CUST_00375,167,4,5613.87,2,4,4,10,Loyal Customers
CUST_00376,225,2,117.80000000000001,1,1,1,3,Lost Customers
CUST_00377,265,1,174.37,1,1,1,3,Lost Customers
CUST_00378,117,3,12224.019999999999,3,3,5,11,Loyal Customers
CUST_00379,37,4,1054.11,4,4,2,10,Loyal Customers
CUST_00380,7,4,5515.51,5,4,4,13,Champions
CUST_00381,76,1,1052.55,3,1,2,6,At Risk
CUST_00382,263,1,161.95,1,1,1,3,Lost Customers
CUST_00383,26,2,2991.9300000000003,5,1,3,9,Potential Loyalists
CUST_00384,162,1,690.2,2,1,2,5,At Risk
CUST_00385,82,5,13334.490000000002,3,4,5,12,Loyal Customers
CUST_00386,424,1,114.13,1,1,1,3,Lost Customers
CUST_00387,279,1,298.26,1,1,1,3,Lost Customers
CUST_00388,133,6,1961.66,2,5,3,10,Loyal Customers
CUST_00389,50,4,6735.0,4,4,4,12,Loyal Customers
CUST_00390,58,6,6918.36,4,5,5,14,Champions
CUST_00391,79,2,777.66,3,1,2,6,At Risk
CUST_00392,49,3,3863.8500000000004,4,3,4,11,Loyal Customers
CUST_00393,186,3,1399.6000000000001,2,3,2,7,Potential Loyalists
CUST_00394,78,7,3738.27,3,5,4,12,Loyal Customers
CUST_00395,251,2,7803.389999999999,1,1,5,7,Potential Loyalists
CUST_00396,109,3,1345.42,3,3,2,8,Potential Loyalists
CUST_00397,83,5,10800.16,3,4,5,12,Loyal Customers
CUST_00398,42,6,4775.8,4,5,4,13,Champions
CUST_00399,5,3,231.03999999999996,5,3,1,9,Potential Loyalists
CUST_00400,29,8,10932.39,5,5,5,15,Champions
CUST_00401,20,4,10794.24,5,4,5,14,Champions
CUST_00402,73,4,1304.47,3,4,2,9,Potential Loyalists
CUST_00403,14,2,819.98,5,1,2,8,Potential Loyalists
CUST_00404,96,3,2761.87,3,3,3,9,Potential Loyalists
CUST_00405,181,1,2160.88,2,1,3,6,At Risk
CUST_00406,28,9,6084.75,5,5,4,14,Champions
CUST_00407,95,3,4609.389999999999,3,3,4,10,Loyal Customers
CUST_00408,22,9,28865.97,5,5,5,15,Champions
CUST_00409,22,2,7865.040000000001,5,1,5,11,Loyal Customers
CUST_00410,128,1,282.21,2,1,1,4,Lost Customers
CUST_00411,3,2,1459.8500000000001,5,1,2,8,Potential Loyalists
CUST_00412,35,2,2268.76,4,1,3,8,Potential Loyalists
CUST_00413,376,1,374.12,1,1,1,3,Lost Customers
CUST_00414,26,2,2184.73,5,1,3,9,Potential Loyalists
CUST_00415,111,2,1681.1999999999998,3,1,2,6,At Risk
CUST_00416,81,4,8661.029999999999,3,4,5,12,Loyal Customers
CUST_00417,173,6,6250.51,2,5,4,11,Loyal Customers
CUST_00418,121,7,6008.9800000000005,3,5,4,12,Loyal Customers
CUST_00419,130,5,4757.139999999999,2,4,4,10,Loyal Customers
CUST_00420,323,1,2349.09,1,1,3,5,At Risk
CUST_00421,68,3,7386.08,4,3,5,12,Loyal Customers
CUST_00422,62,3,12480.420000000002,4,3,5,12,Loyal Customers
CUST_00423,166,3,5998.98,2,3,4,9,Potential Loyalists
CUST_00424,4,2,1296.0,5,1,2,8,Potential Loyalists
CUST_00425,1,10,9990.1,5,5,5,15,Champions
CUST_00426,143,5,3400.2000000000003,2,4,3,9,Potential Loyalists
CUST_00427,194,3,28571.71,2,3,5,10,Loyal Customers
CUST_00428,76,1,295.88,3,1,1,5,At Risk
CUST_00429,72,5,2715.2400000000002,3,4,3,10,Loyal Customers
CUST_00430,162,5,3822.06,2,4,4,10,Loyal Customers
CUST_00431,1,6,12412.81,5,5,5,15,Champions
CUST_00432,3,7,3653.62,5,5,4,14,Champions
CUST_00433,7,3,2794.06,5,3,3,11,Loyal Customers
CUST_00434,28,2,2653.11,5,1,3,9,Potential Loyalists
CUST_00435,87,3,14177.36,3,3,5,11,Loyal Customers
CUST_00436,58,4,4380.76,4,4,4,12,Loyal Customers
CUST_00437,65,5,11406.7,4,4,5,13,Champions
CUST_00438,38,4,7347.46,4,4,5,13,Champions
CUST_00439,351,1,534.0,1,1,1,3,Lost Customers
CUST_00440,32,4,1478.74,4,4,2,10,Loyal Customers
CUST_00441,193,4,5848.24,2,4,4,10,Loyal Customers
CUST_00442,123,2,2483.6099999999997,3,2,3,8,Potential Loyalists
